Date,Time,Data,MMSI,Type,Message,NMEA,Slot,Slots
Tue Jul 22 2025,21:03:42,603e456af9255934140873534b4c79c000401c308c,261184190,Static data report,"Type: Vessel - Pleasure craft Vendor ID: VSPTBGM Callsign: SR4190","!AIVDM,1,1,,,H3q5JgTUFC@D27=CBliqh010732<,0*6b
",1586,1
Tue Jul 22 2025,21:03:44,607a126149243960c4928a5a345cb4c33050104100,512006226,Static data report,"Type: Vessel - Sailing Vendor ID: NVCD$() Callsign: ZME2403","!AIVDM,1,1,,,H7`BHDTT>F34T`aJ=5jlhk1@4440,0*2e
",1682,1
Tue Jul 22 2025,21:03:46,6038086075244cd504d2164d15923300003818403c,235018269,Static data report,"Type: Vessel - Sailing Vendor ID: SMTD4!Y Callsign: MEYH3","!AIVDM,1,1,,,H3P8H7DTC=D4lQI=5I8k000p640t,0*75
",1753,1
Tue Jul 22 2025,21:03:53,487a1261480002b2b1485f5d468bcf5ffea5de0006,512006226,Standard Class B equipment position report,"Lat: -17.7738° Lon: 177.183° Speed: 0.2 knts Course: 331.7°","!AIVDM,1,1,,,B7`BHDP00c:iB5uMA`g?GwrUoP06,0*44
",2018,1
Tue Jul 22 2025,21:04:17,487a12535c0000b2b1a8275d4d5ed46ffa25de0006,512005335,Standard Class B equipment position report,"Lat: -17.7709° Lon: 177.188° Speed: 0 knts Course: 339.8°","!AIVDM,1,1,,,B7`BDmh00;:ib2MMCEsDKw`UoP06,0*48
",658,1
Tue Jul 22 2025,21:04:38,60781a24804ee5ae2c9505000000000000000000,503744800,Static data report,"Name: S.V.KITE","!AIVDM,1,1,,,H7PJ981>qJpdU@D000000000000,2*70
",1452,1
Tue Jul 22 2025,21:04:50,603750e1d814c653140000000000000000000000,232011894,Static data report,"Name: ELYSE","!AIVDM,1,1,,,H3M@pMPDiU<D000000000000000,2*4e
",1911,1
Tue Jul 22 2025,21:05:10,48781a2480000132b117875d55d7e10ff921c9490a,503744800,Standard Class B equipment position report,"Lat: -17.7673° Lon: 177.181° Speed: 0.1 knts Course: 360°","!AIVDM,1,1,,,B7PJ98000C:i5pMMEMOQ3wTQjDT:,0*7b
",378,1
Tue Jul 22 2025,21:05:24,047bbd22303f80032b07ecf5d5292b740fb2008395,518998156,Position report (Scheduled),"Lat: -17.7687° Lon: 177.172° Speed: 0 knts Course: 293.2° Status: Under way using engine","!AIVDM,1,1,,,17fu8S0wP0<c1vkmmBTcM0vj08>E,0*2a
",918,1
Tue Jul 22 2025,21:05:24,487a12a76c000032b182b75d4a8fcbeffae5ce0006,512010715,Standard Class B equipment position report,"Lat: -17.7721° Lon: 177.186° Speed: 0 knts Course: 326.2°","!AIVDM,1,1,,,B7`Banh003:iPcMMB`w;swcUkP06,0*65
",922,1
